2025-10-26 13:36:27.136931 - T:29.7, H:72.5, C:1335.0, L:83.0
2025-10-26 13:36:36.645280 - T:29.7, H:72.5, C:1334.0, L:84.0
2025-10-26 13:36:46.641784 - T:29.7, H:72.5, C:1349.0, L:84.0
2025-10-26 13:36:56.849929 - T:29.7, H:72.3, C:1344.0, L:84.0
2025-10-26 13:37:07.381456 - T:29.7, H:72.2, C:1366.0, L:83.0
2025-10-26 13:37:17.012083 - T:29.7, H:71.9, C:1363.0, L:84.0
2025-10-26 13:37:27.237250 - T:29.7, H:71.8, C:1361.0, L:83.0
2025-10-26 13:37:37.138222 - T:29.7, H:71.7, C:1365.0, L:83.0
2025-10-26 13:37:46.993803 - T:29.7, H:71.6, C:1363.0, L:83.0
2025-10-26 13:37:56.819676 - T:29.7, H:71.4, C:1365.0, L:83.0
2025-10-26 13:38:06.911827 - T:29.7, H:71.2, C:1413.0, L:81.0
2025-10-26 13:38:17.089011 - T:29.7, H:71.7, C:1431.0, L:80.0
2025-10-26 13:38:26.939688 - T:29.7, H:72.0, C:1482.0, L:81.0
2025-10-26 13:38:37.146141 - T:29.7, H:71.5, C:1496.0, L:81.0
2025-10-26 13:38:46.922315 - T:29.7, H:71.3, C:1485.0, L:81.0
2025-10-26 13:38:57.124871 - T:29.7, H:71.2, C:1497.0, L:81.0
2025-10-26 13:39:07.595718 - T:29.7, H:71.3, C:1499.0, L:81.0
2025-10-26 13:39:17.534465 - T:29.7, H:71.2, C:1497.0, L:82.0
2025-10-26 13:39:27.087032 - T:29.7, H:71.0, C:1496.0, L:82.0
2025-10-26 13:39:36.875601 - T:29.7, H:71.0, C:1504.0, L:82.0
2025-10-26 13:39:47.044693 - T:29.7, H:71.0, C:1501.0, L:82.0
2025-10-26 13:39:57.010299 - T:29.7, H:70.9, C:1506.0, L:82.0
2025-10-26 13:40:07.557316 - T:29.7, H:71.0, C:1505.0, L:82.0
2025-10-26 13:40:17.457201 - T:29.7, H:71.2, C:1506.0, L:82.0
2025-10-26 13:40:29.947563 - T:29.6, H:71.1, C:1456.0, L:82.0
2025-10-26 13:40:57.221048 - T:29.6, H:71.1, C:1456.0, L:82.0
2025-10-26 13:41:05.322940 - T:29.6, H:71.0, C:1456.0, L:82.0
2025-10-26 13:41:12.555683 - T:29.6, H:71.0, C:1480.0, L:82.0
2025-10-26 13:41:18.685622 - T:29.6, H:71.1, C:1481.0, L:82.0
2025-10-26 13:41:33.147361 - T:29.6, H:71.2, C:1493.0, L:82.0
2025-10-26 13:41:38.349410 - T:29.6, H:71.2, C:1494.0, L:82.0
2025-10-26 13:41:43.855734 - T:29.6, H:71.4, C:1497.0, L:82.0
2025-10-26 13:41:49.189716 - T:29.6, H:71.2, C:1495.0, L:82.0
2025-10-26 13:42:01.226319 - T:29.6, H:71.1, C:1498.0, L:82.0
2025-10-26 13:42:07.517602 - T:29.6, H:71.0, C:1500.0, L:82.0
2025-10-26 13:42:17.455614 - T:29.6, H:71.0, C:1506.0, L:81.0
2025-10-26 13:42:27.465822 - T:29.6, H:70.8, C:1470.0, L:81.0
2025-10-26 13:42:38.069709 - T:29.6, H:70.9, C:1471.0, L:81.0
2025-10-26 13:42:47.525484 - T:29.6, H:70.9, C:1468.0, L:80.0
2025-10-26 13:42:57.713647 - T:29.6, H:70.7, C:1413.0, L:82.0
2025-10-26 14:50:52.654849 - T:29.6, H:70.7, C:1478.0, L:77.0
2025-10-26 14:51:02.669015 - T:29.7, H:71.5, C:1483.0, L:78.0
2025-10-26 14:51:12.694061 - T:29.7, H:71.5, C:1499.0, L:79.0
2025-10-26 14:51:22.661500 - T:29.7, H:71.6, C:1497.0, L:78.0
2025-10-26 14:51:34.635462 - T:29.7, H:71.7, C:1493.0, L:78.0
2025-10-26 14:51:42.651094 - T:29.7, H:71.7, C:1490.0, L:78.0
2025-10-26 14:51:52.707695 - T:29.7, H:71.8, C:1493.0, L:78.0
2025-10-26 14:52:02.679479 - T:29.7, H:71.8, C:1508.0, L:80.0
2025-10-26 14:52:12.753517 - T:29.7, H:71.8, C:1505.0, L:79.0
2025-10-26 14:52:22.700110 - T:29.7, H:71.9, C:1494.0, L:79.0
2025-10-26 14:52:32.698856 - T:29.8, H:71.8, C:1437.0, L:74.0
2025-10-26 17:46:09.395005 - T:29.1, H:78.0, C:1270.0, L:57.0
2025-10-26 17:46:29.145990 - T:29.2, H:77.6, C:1274.0, L:56.0
2025-10-26 17:46:39.483624 - T:29.2, H:77.6, C:1362.0, L:55.0
2025-10-26 17:46:49.136790 - T:29.2, H:77.5, C:1343.0, L:63.0
2025-10-26 17:46:59.280046 - T:29.3, H:77.3, C:1318.0, L:63.0
2025-10-26 17:47:08.990239 - T:29.3, H:77.2, C:1382.0, L:63.0
2025-10-26 17:47:18.970192 - T:29.3, H:77.4, C:1393.0, L:65.0
2025-10-26 17:47:29.175692 - T:29.3, H:77.2, C:1399.0, L:63.0
2025-10-26 17:47:38.997935 - T:29.4, H:77.0, C:1399.0, L:64.0
2025-10-26 17:47:48.990889 - T:29.4, H:76.9, C:1410.0, L:64.0
2025-10-26 17:47:59.140858 - T:29.4, H:76.8, C:1413.0, L:46.0
2025-10-26 17:48:09.193492 - T:29.4, H:76.9, C:1413.0, L:62.0
2025-10-26 17:48:19.197592 - T:29.4, H:76.7, C:1415.0, L:63.0
2025-10-26 17:48:29.218124 - T:29.4, H:76.7, C:1418.0, L:63.0
2025-10-26 17:48:39.104807 - T:29.4, H:76.7, C:1413.0, L:62.0
2025-10-26 17:48:49.518580 - T:29.4, H:76.9, C:1418.0, L:63.0
2025-10-26 17:48:59.200857 - T:29.4, H:76.8, C:1423.0, L:64.0
2025-10-26 17:49:09.196597 - T:29.4, H:76.5, C:1422.0, L:64.0
2025-10-26 17:49:19.184767 - T:29.4, H:76.4, C:1424.0, L:63.0
2025-10-26 17:49:29.224924 - T:29.4, H:76.5, C:1426.0, L:65.0
2025-10-28 13:22:20.460052 - T:30.8, H:70.3, C:1488.0, L:58.0
2025-10-28 13:22:51.082657 - T:30.9, H:70.3, C:1486.0, L:58.0
2025-10-28 13:23:23.427527 - T:30.9, H:70.3, C:1488.0, L:58.0
2025-10-28 13:23:40.250645 - T:30.9, H:70.3, C:1488.0, L:55.0
2025-10-28 13:23:44.207739 - T:30.9, H:70.2, C:1488.0, L:55.0
2025-10-28 13:23:48.049724 - T:30.9, H:70.1, C:1489.0, L:53.0
2025-10-28 13:23:52.185793 - T:30.9, H:70.2, C:1488.0, L:53.0
2025-10-28 13:23:56.341081 - T:30.9, H:70.0, C:1488.0, L:53.0
2025-10-28 13:24:00.560157 - T:30.9, H:70.0, C:1482.0, L:52.0
2025-10-28 13:24:04.694427 - T:30.9, H:69.8, C:1485.0, L:52.0
2025-10-28 13:24:08.215805 - T:30.9, H:70.0, C:1486.0, L:52.0
2025-10-28 13:24:13.088170 - T:30.9, H:70.0, C:1488.0, L:52.0
2025-10-28 13:24:20.823457 - T:30.9, H:70.1, C:1488.0, L:51.0
2025-10-28 13:24:30.815909 - T:30.9, H:69.9, C:1487.0, L:51.0
2025-10-28 13:24:40.915889 - T:30.9, H:69.8, C:1492.0, L:51.0
2025-10-28 13:24:50.976636 - T:30.9, H:69.8, C:1488.0, L:50.0
2025-10-28 13:25:00.952271 - T:30.9, H:69.7, C:1487.0, L:50.0
2025-10-28 13:25:10.999890 - T:30.9, H:69.7, C:1482.0, L:49.0
2025-10-28 13:25:21.054992 - T:30.9, H:69.8, C:1480.0, L:49.0
2025-10-28 13:25:31.060070 - T:30.9, H:69.9, C:1481.0, L:49.0
2025-10-28 13:25:41.053650 - T:30.9, H:69.8, C:1481.0, L:48.0
2025-10-28 13:25:51.193123 - T:30.9, H:69.5, C:1481.0, L:46.0
2025-10-28 13:26:01.111268 - T:30.8, H:69.6, C:1481.0, L:46.0
2025-10-28 13:26:11.165086 - T:30.8, H:69.6, C:1477.0, L:46.0
